Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20190920,MTX    ,201910     ,150126,10917,2,-,-, 
20190920,MTX    ,201910     ,150127,10917,2,-,-, 
20190920,MTX    ,201910     ,150127,10916,2,-,-, 
20190920,MTX    ,201910     ,150127,10917,2,-,-, 
20190920,MTX    ,201910     ,150127,10917,4,-,-, 
20190920,MTX    ,201910     ,150127,10917,2,-,-, 
20190920,MTX    ,201910     ,150128,10917,2,-,-, 
20190920,MTX    ,201910     ,150128,10916,2,-,-, 
20190920,MTX    ,201910     ,150128,10918,2,-,-, 
20190920,MTX    ,201910     ,150128,10916,2,-,-, 
20190920,MTX    ,201910     ,150128,10916,2,-,-, 
20190920,MTX    ,201910     ,150129,10918,2,-,-, 
20190920,MTX    ,201910     ,150129,10918,4,-,-, 
20190920,MTX    ,201910     ,150130,10918,2,-,-, 
20190920,MTX    ,201910     ,150130,10918,2,-,-, 
20190920,MTX    ,201910     ,150130,10918,4,-,-, 
20190920,MTX    ,201910     ,150131,10917,4,-,-, 
20190920,MTX    ,201910     ,150131,10918,2,-,-, 
20190920,MTX    ,201910     ,150131,10917,6,-,-, 
20190920,MTX    ,201910     ,150132,10917,2,-,-, 
20190920,MTX    ,201910     ,150132,10917,2,-,-, 
20190920,MTX    ,201910     ,150132,10918,4,-,-, 
20190920,MTX    ,201910     ,150133,10918,2,-,-, 
20190920,MTX    ,201910     ,150135,10918,2,-,-, 
20190920,MTX    ,201910     ,150135,10917,2,-,-, 
20190920,MTX    ,201910     ,150135,10918,80,-,-, 
20190920,MTX    ,201910     ,150135,10918,10,-,-, 
20190920,MTX    ,201910     ,150136,10917,2,-,-, 
20190920,MTX    ,201910     ,150136,10917,2,-,-, 
20190920,MTX    ,201910     ,150137,10918,2,-,-, 
20190920,MTX    ,201910     ,150137,10917,2,-,-, 
20190920,MTX    ,201910     ,150137,10917,2,-,-, 
20190920,MTX    ,201910     ,150137,10917,2,-,-, 
20190920,MTX    ,201910     ,150137,10917,2,-,-, 
20190920,MTX    ,201910     ,150137,10917,2,-,-, 
20190920,MTX    ,201910     ,150137,10917,2,-,-, 
20190920,MTX    ,201910     ,150138,10917,4,-,-, 
20190920,MTX    ,201910     ,150138,10917,2,-,-, 
20190920,MTX    ,201910     ,150140,10917,4,-,-, 
20190920,MTX    ,201910     ,150140,10917,4,-,-, 
20190920,MTX    ,201910     ,150141,10916,2,-,-, 
20190920,MTX    ,201910     ,150141,10916,2,-,-, 
20190920,MTX    ,201910     ,150141,10916,2,-,-, 
20190920,MTX    ,201910     ,150141,10916,2,-,-, 
20190920,MTX    ,201910     ,150141,10916,4,-,-, 
20190920,MTX    ,201910     ,150141,10916,6,-,-, 
20190920,MTX    ,201910     ,150141,10916,2,-,-, 
